capturedAtUtc,publishTime,publishTimeRaw,buying,cashBuying,selling,cashSelling,middle,htmlSha256,source
2026-05-31 16:48:48,2026-06-01 00:00:05,2026/06/01 00:00:05,675.87,675.87,678.72,678.72,681.76,703147219938888dffa221663d6a75659dbc7c0ca057462e8e27d225f3940679,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-05-31 17:49:36,2026-06-01 00:00:05,2026/06/01 00:00:05,675.87,675.87,678.72,678.72,681.76,703147219938888dffa221663d6a75659dbc7c0ca057462e8e27d225f3940679,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-05-31 18:56:30,2026-06-01 00:00:05,2026/06/01 00:00:05,675.87,675.87,678.72,678.72,681.76,703147219938888dffa221663d6a75659dbc7c0ca057462e8e27d225f3940679,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-05-31 20:14:26,2026-06-01 00:00:05,2026/06/01 00:00:05,675.87,675.87,678.72,678.72,681.76,703147219938888dffa221663d6a75659dbc7c0ca057462e8e27d225f3940679,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-05-31 21:16:38,2026-06-01 00:00:05,2026/06/01 00:00:05,675.87,675.87,678.72,678.72,681.76,703147219938888dffa221663d6a75659dbc7c0ca057462e8e27d225f3940679,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-05-31 22:28:59,2026-06-01 05:30:00,2026/06/01 05:30:00,675.87,675.87,678.72,678.72,681.76,e65c1b6935eccb3795888f5df2f7e0d0f17435327ce0276c1507445f5dfbe663,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-05-31 23:40:08,2026-06-01 07:15:54,2026/06/01 07:15:54,675.87,675.87,678.72,678.72,681.76,5f8dd8f3246fd576d382caaf2996b54043f52aba9ac1699b896f34910a71b209,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-06-01 02:01:19,2026-06-01 09:58:10,2026/06/01 09:58:10,675.54,675.54,678.39,678.39,681.67,b3831bedd5b9121cbd015bddf8a2a344b8300a2e164aba185889e7f8c90c158c,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-06-01 07:17:35,2026-06-01 15:11:14,2026/06/01 15:11:14,675.43,675.43,678.28,678.28,681.67,24390d0d420a91db612ee99bd3b45b2ad0ab84e5a2bd1e70d4eff4658bbdf24b,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-06-01 13:03:23,2026-06-01 21:01:15,2026/06/01 21:01:15,675.3,675.3,678.15,678.15,681.67,28c422e306cf73a81ec9105169978c4d150bd05fdf390a0ab0798b5fdd68ab4a,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-06-01 18:46:24,2026-06-02 02:41:16,2026/06/02 02:41:16,675.5,675.5,678.35,678.35,681.67,f5b954385039c225f96545aec57af09d0f2e3d6590f2d2ba76c34ef63984c9e9,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-06-01 21:54:15,2026-06-02 05:30:00,2026/06/02 05:30:00,675.79,675.79,678.64,678.64,681.67,197d43b97f8febc59ac1399786e886443c9bf18268ee9bcd82fc5b209d59efb3,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-06-01 23:26:11,2026-06-02 06:40:57,2026/06/02 06:40:57,675.79,675.79,678.64,678.64,681.67,489e87ce15d2968c89fd0dae45f4712bccb1918849dfde399d1c6b38b797b746,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
